 PARTIDO ; DEPARTAMENTO ; NIVEL ; HOJA ; CANDIDATO_1 ; INGRESOS_TOT ; INGRESOS_NET ; FIN_PUB ; FIN_INT ; CES_FON ; FIN_PRIV ; VOTOS ; BANCAS ; PERSONAS ; EMPRESAS ; ANONIMA ; CANDIDATOS ; OTROS ; EGRESOS_TOT ; EGRESOS_NET ;;
 FRENTE AMPLIO ; ARTIGAS ; REPRESENTANTES ; 609 ; BETTIANA RODRIGUEZ ; 905.652 ; 905.652 ; 905.652 ; -   ; -   ; -   ; 4.789 ; -   ; -   ; -   ; -   ; -   ; -   ; 905.652 ; 905.652 ;;
 FRENTE AMPLIO ; ARTIGAS ; REPRESENTANTES ; 871 ; RAUL CAMPANELLA ; 11.941 ; 11.941 ; 11.941 ; -   ; -   ; -   ; 117 ; -   ; -   ; -   ; -   ; -   ; -   ; 11.941 ; 11.941 ;;
 FRENTE AMPLIO ; ARTIGAS ; REPRESENTANTES ; 1.968 ; MARISOL ALVES SERRA ; 27.034 ; 27.034 ; 27.034 ; -   ; -   ; -   ; 156 ; -   ; -   ; -   ; -   ; -   ; -   ; 21.025 ; 21.025 ;;
 FRENTE AMPLIO ; ARTIGAS ; REPRESENTANTES ; 1.971 ; CARLOS MASEDA ; 80.000 ; 80.000 ;                          -   ; 80.000 ; -   ; -   ; 1.309 ; -   ; -   ; -   ; -   ; -   ; -   ; 79.789 ; 79.789 ;;
 FRENTE AMPLIO ; ARTIGAS ; REPRESENTANTES ; 3.311 ; MIRIAM DA ROSA ; 27.571 ; 27.571 ; 26.431 ; -   ; -   ; 1.140 ; 259 ; -   ; -   ; -   ; -   ; -   ; 1.140 ; 26.915 ; 26.915 ;;
 FRENTE AMPLIO ; ARTIGAS ; REPRESENTANTES ; 7.373 ; NINOSKA  CORDERO PEDROZO ; 32.150 ; 32.150 ; 32.150 ; -   ; -   ; -   ; 309 ; -   ; -   ; -   ; -   ; -   ; -   ; 32.150 ; 32.150 ;;
 FRENTE AMPLIO ; ARTIGAS ; REPRESENTANTES ; 90.712 ; ISABELINO WILSON BAUER DE SOUZA ; 1.353.508 ; 548.016 ; 805.492 ; 544.616 ; 805.492 ; 3.400 ; 3.157 ; -   ; -   ; -   ; 3.400 ; -   ; -   ; 929.999 ; 551.418 ;;
 FRENTE AMPLIO ; ARTIGAS ; REPRESENTANTES ; 217.705 ; RICARDO XAVIER ; 169.650 ; 169.650 ; 168.650 ; -   ; -   ; -   ; 1.621 ; -   ; -   ; -   ; -   ; -   ; -   ; 177.100 ; 177.100 ;;
 FRENTE AMPLIO ; ARTIGAS ; REPRESENTANTES ; 7.111.001 ; LIDIO PANIAGUA ; 398.607 ; 398.607 ; 398.607 ; -   ; -   ; -   ; 3.831 ; -   ; -   ; -   ; -   ; -   ; -   ; 398.607 ; 398.607 ;;
 FRENTE AMPLIO ; ARTIGAS ; REPRESENTANTES ; 997.382.121 ; SILVIO RIOS ; 908.500 ; 908.500 ; 611.000 ; 297.500 ; -   ; -   ; 5.996 ; 1 ; -   ; -   ; -   ; -   ; -   ; 865.045 ; 865.045 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 90 ; RAÚL OLIVERA ; 5.123.312 ; 1.867.408 ; 3.255.904 ; 1.867.408 ; 3.255.904 ; -   ; 12.761 ; -   ; -   ; -   ; -   ; -   ; -   ; 3.395.729 ; 1.865.454 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 329 ; MACARENA GELMAN ; 423.071 ; 423.071 ; 423.071 ; -   ; -   ; -   ; 3.582 ; -   ; -   ; -   ; -   ; -   ; -   ; 73.469 ; 73.469 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 609 ; SEBASTIAN SABINI ; 8.411.867 ; 8.411.867 ; 8.401.867 ; -   ; -   ; 10.000 ; 67.355 ; 5 ; -   ; -   ; 10.000 ; -   ; -   ; 8.411.867 ; 8.411.867 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 711 ; MARCOS OTHEGUY ; 20.000 ; 20.000 ; -   ; 20.000 ; -   ; -   ; 19.549 ; 1 ; -   ; -   ; -   ; -   ; -   ; 20.000 ; 20.000 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 764 ; DANISA RODRIGUEZ ; 32.284 ; 32.284 ; 26.284 ; -   ; -   ; 6.000 ; 433 ; -   ; -   ; -   ; -   ; -   ; 6.000 ; 31.381 ; 31.381 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 871 ; ENRIQUE TELLECHEA  ; 28.780 ; -   ; 28.780 ; -   ; 28.780 ; -   ; 282 ; -   ; -   ; -   ; -   ; -   ; -   ; 28.780 ; -   ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 890 ; GERARDO GADEA ; 229.493 ; 229.493 ; 229.493 ; -   ; -   ; -   ; 1.913 ; -   ; -   ; -   ; -   ; -   ; -   ; 229.493 ; 229.493 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 1.642 ; GERARDO IGLESIAS ; 70.823 ; 70.823 ; 70.823 ; -   ; -   ; -   ; 694 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 1.813 ; JOSE LUIS DEVITTA ; 201.000 ; 201.000 ; 100.000 ; 75.000 ; -   ; 26.000 ; 1.497 ; -   ; -   ; -   ; -   ; 26.000 ; -   ; 122.148 ; 122.148 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 1.968 ; CAMILA LETICIA PÉREZ VERGARA ; 182.093 ; 182.093 ; 182.093 ; -   ; -   ; -   ; 557 ; -   ; -   ; -   ; -   ; -   ; -   ; 211.384 ; 211.384 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 2.121 ; JOSE CARLOS MAHÍA ; 4.912.894 ; 2.303.374 ; 2.609.520 ; 575.000 ; 2.609.520 ; 1.092.800 ; 25.569 ; 2 ; 84.000 ; 208.800 ; -   ; 140.000 ; 660.000 ; 4.477.422 ; 1.867.902 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 3.311 ; VALERIA RUBINO ; 534.739 ; 328.575 ; 499.739 ; 35.000 ; 206.164 ; -   ; 4.897 ; -   ; -   ; -   ; -   ; -   ; -   ; 517.250 ; 311.086 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 6.009 ; VÍCTOR SEMPRONI ; 1.493.589 ; 1.493.589 ; 1.493.589 ; -   ; -   ; -   ; 5.854 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 7.373 ; AUREL CESAR LARRAÑAGA NAYA ; 199.618 ; -   ; 199.618 ; -   ; 199.618 ; -   ; 1.932 ; -   ; -   ; -   ; -   ; -   ; -   ; 199.618 ; -   ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 9.393 ; ALEJANDRO CATUCCI ; 36.000 ; -   ; 36.000 ; -   ; 36.000 ; -   ; 364 ; -   ; -   ; -   ; -   ; -   ; -   ; 36.000 ; -   ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 99.738 ; HORACIO YANES ; 1.284.000 ; 971.000 ; 763.000 ; 521.000 ; 313.000 ; -   ; 7.484 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.165.572 ; 852.572 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 181.563 ; CHEVALIER GABRIEL ; 85.963 ; 1 ; 85.963 ; -   ; 85.962 ; -   ; 832 ; -   ; -   ; -   ; -   ; -   ; -   ; 85.963 ; 1 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 775.005 ; LEONARDO HEROU ; 710.580 ; 710.580 ; 540.580 ; 60.000 ; -   ; 109.000 ; 5.232 ; -   ; -   ; -   ; -   ; -   ; 109.000 ; 753.000 ; 753.000 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 848.959 ; NESTOR LLORCA ; 221.600 ; 221.600 ; 139.200 ; 82.400 ; -   ; -   ; 956 ; -   ; -   ; -   ; -   ; -   ; -   ; 40.000 ; 40.000 ;;
