PARTIDO;NIVEL ;DEPARTAMENTO;HOJA;CANDIDATO;MEDIO;DESCRIPCIÓN DEL GASTO;MONTO
Nacional;Diputados;Montevideo;71;Gustavo Penadés;BOLSOS;FORUM;2928
Nacional;Diputados;Montevideo;71;Gustavo Penadés;BOLSOS;FORUM;781
Nacional;Diputados;Montevideo;71;Gustavo Penadés;CAMISETAS;GARIMPORT S.A.;43920
Nacional;Diputados;Montevideo;71;Gustavo Penadés;CAMISETAS;DISER LTDA;6290
Nacional;Diputados;Montevideo;71;Gustavo Penadés;CAMISETAS;EXPOCEL SA;10876
Nacional;Diputados;Montevideo;71;Gustavo Penadés;CARTELERIA CARTONPLAST;DAFELIR S.A.;181173
Nacional;Diputados;Montevideo;71;Gustavo Penadés;CARTELERIA CARTONPLAST;DAFELIR S.A.;588244
Nacional;Diputados;Montevideo;71;Gustavo Penadés;CARTELERIA CARTONPLAST;DAFELIR S.A.;550804
Nacional;Diputados;Montevideo;71;Gustavo Penadés;CARTELERIA CARTONPLAST;DAFELIR S.A.;242170
Nacional;Diputados;Montevideo;71;Gustavo Penadés;CARTELERIA CARTONPLAST;DAFELIR S.A.;90828
Nacional;Diputados;Montevideo;71;Gustavo Penadés;CARTELERIA CARTONPLAST;DAFELIR S.A.;69943
Nacional;Diputados;Montevideo;71;Gustavo Penadés;CARTELERIA PLOTEADA;FRANFEFO S.R.L.;17244,72
Independiente;Presidencia;;;Pablo Mieres- Conrado Ramos;ESCRITA;Publicidad escrita;73.200
Colorado;Diputados;Montevideo;9989;Sheila Duarte;ESCRITA;El País F 41202;60.000,00
Colorado;Diputados;Canelones;10;Graciela Matiaude;ESCRITA;Espacios;27000
Colorado;Diputados;Canelones;1015;Daniela Barindelli;ESCRITA;Publicidad Escrita (Radios);2787
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ESCRITA;Publicidad escrita - El Pais;1579900
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ESCRITA;Publicidad escrita - Busqueda;158600
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;ESCRITA;Publicidad escrita - El Observador;146400
Nacional;Senado;;;Sergio Abreu;ESCRITA;DIARIO EL PAIS;923444
Nacional;Diputados;Montevideo;2014;Verónica Alonso;ESCRITA;Publicidad Escrita;745720
Nacional;Diputados;Montevideo;40;Javier García;ESCRITA;DIARIOS Y REVISTAS;162150
Nacional;Diputados;Montevideo;404;Alvaro Delgado;ESCRITA;Publicidad Escrita;1165222
Nacional;Diputados;Montevideo;767;Alfredo Oliú;ESCRITA;PRENSA ESCRITA;155788
Nacional;Diputados;Montevideo;903;Daniel Quiró;ESCRITA;50% PUBLICIDAD DIARIO EL PAIS;69151,5
