PARTIDO;DEPARTAMENTO;NIVEL;HOJA;CANDIDATO_1;INGRESOS_TOT;INGRESOS_NET;FIN_PUB;FIN_INT;CES_FON;FIN_PRIV;VOTOS;BANCAS;PERSONAS;EMPRESAS;ANONIMA;CANDIDATOS;OTROS;EGRESOS_TOT;EGRESOS_NET
FRENTE AMPLIO;ARTIGAS;REPRESENTANTES;609;BETTIANA RODRIGUEZ;905652;905652;905652;0;0;0;4789;0;0;0;0;0;0;905652;905652
FRENTE AMPLIO;ARTIGAS;REPRESENTANTES;871;RAUL CAMPANELLA;11941;11941;11941;0;0;0;117;0;0;0;0;0;0;11941;11941
FRENTE AMPLIO;ARTIGAS;REPRESENTANTES;1968;MARISOL ALVES SERRA;27034;27034;27034;0;0;0;156;0;0;0;0;0;0;21024,73535;21024,73535
FRENTE AMPLIO;ARTIGAS;REPRESENTANTES;1971;CARLOS MASEDA;80000;80000;                         -  ;80000;0;0;1309;0;0;0;0;0;0;79789;79789
FRENTE AMPLIO;ARTIGAS;REPRESENTANTES;3311;MIRIAM DA ROSA;27571;27571;26431;0;0;1140;259;0;0;0;0;0;1140;26915;26915
FRENTE AMPLIO;ARTIGAS;REPRESENTANTES;7373;NINOSKA  CORDERO PEDROZO;32150;32150;32150;0;0;0;309;0;0;0;0;0;0;32150;32150
FRENTE AMPLIO;ARTIGAS;REPRESENTANTES;90712;ISABELINO WILSON BAUER DE SOUZA;1353508;548016;805492;544616;805492;3400;3157;0;0;0;3400;0;0;929999,27;551417,82
FRENTE AMPLIO;ARTIGAS;REPRESENTANTES;217705;RICARDO XAVIER;169650;169650;168650;0;0;0;1621;0;0;0;0;0;0;177100;177100
FRENTE AMPLIO;ARTIGAS;REPRESENTANTES;7111001;LIDIO PANIAGUA;398607;398607;398607;0;0;0;3831;0;0;0;0;0;0;398607;398607
FRENTE AMPLIO;ARTIGAS;REPRESENTANTES;997382121;SILVIO RIOS;908500;908500;611000;297500;0;0;5996;1;0;0;0;0;0;865045;865045
FRENTE AMPLIO;CANELONES;REPRESENTANTES;90;RAÚL OLIVERA;5123312;1867408;3255904;1867408;3255904;0;12761;0;0;0;0;0;0;3395728,73;1865453,73
FRENTE AMPLIO;CANELONES;REPRESENTANTES;329;MACARENA GELMAN;423071;423071;423071;0;0;0;3582;0;0;0;0;0;0;73469;73469
FRENTE AMPLIO;CANELONES;REPRESENTANTES;609;SEBASTIAN SABINI;8411867;8411867;8401867;0;0;10000;67355;5;0;0;10000;0;0;8411867;8411867
FRENTE AMPLIO;CANELONES;REPRESENTANTES;711;MARCOS OTHEGUY;20000;20000;0;20000;0;0;19549;1;0;0;0;0;0;20000;20000
FRENTE AMPLIO;CANELONES;REPRESENTANTES;764;DANISA RODRIGUEZ;32284;32284;26284;0;0;6000;433;0;0;0;0;0;6000;31380,94737;31380,94737
FRENTE AMPLIO;CANELONES;REPRESENTANTES;871;ENRIQUE TELLECHEA ;28780;0;28780;0;28780;0;282;0;0;0;0;0;0;28780;0
FRENTE AMPLIO;CANELONES;REPRESENTANTES;890;GERARDO GADEA;229493;229493;229493;0;0;0;1913;0;0;0;0;0;0;229493;229493
FRENTE AMPLIO;CANELONES;REPRESENTANTES;1642;GERARDO IGLESIAS;70823;70823;70823;0;0;0;694;0;0;0;0;0;0;0;0
FRENTE AMPLIO;CANELONES;REPRESENTANTES;1813;JOSE LUIS DEVITTA;201000;201000;100000;75000;0;26000;1497;0;0;0;0;26000;0;122148;122148
FRENTE AMPLIO;CANELONES;REPRESENTANTES;1968;CAMILA LETICIA PÉREZ VERGARA;182093;182093;182093;0;0;0;557;0;0;0;0;0;0;211383,7095;211383,7095
FRENTE AMPLIO;CANELONES;REPRESENTANTES;2121;JOSE CARLOS MAHÍA;4912894;2303374;2609520;575000;2609520;1092800;25569;2;84000;208800;0;140000;660000;4477422,33;1867902,33
FRENTE AMPLIO;CANELONES;REPRESENTANTES;3311;VALERIA RUBINO;534739;328575;499739;35000;206164;0;4897;0;0;0;0;0;0;517250;311086
