CANAL;LISTA O FORMULA;SEP/2014 SEGUNDOS;OCT/2014 SEGUNDOS;Total
VTV;FRENTE LIBER SEREGNI;500;1637;2137
VTV;LACALLE POU;616;6020;6636
VTV;LISTA 10 VAMOS URUGUAY;186;1056;1242
VTV;LISTA 1001 TABARE VAZQUEZ;0;451;451
VTV;LISTA 1303 TABARE VAZQUEZ;1437;1364;2801
VTV;LISTA 1813 TABARE VAZQUEZ;0;260;260
VTV;LISTA 2014 LACALLE POU;0;825;825
VTV;LISTA 23 LACALLE POU;0;599;599
VTV;LISTA 404 LACALLE POU;0;2261;2261
VTV;LISTA 6009 TABARE VAZQUEZ;0;663;663
VTV;LISTA 6262 LACALLE POU;0;268;268
VTV;LISTA 71 LACALLE POU;0;190;190
VTV;LISTA 711 TABARE SENDIC;486;2330;2816
VTV;LISTA 77 5005 FRENTE AMPLIO;1380;2075;3455
VTV;LISTA 890 TABARE VAZQUEZ;0;59;59
VTV;LISTA 90 TABARE VAZQUEZ;834;1349;2183
VTV;LISTA 903 LACALLE POU;135;124;259
VTV;LISTA 99738 NUEVO ESPACIO;0;176;176
VTV;TABARE VAZQUEZ;1533;6718;8251
MONTE CARLO TV;ESPACIO 40 LACALLE POU;925;3135;4060
MONTE CARLO TV;FRENTE LIBER SEREGNI;836;3677;4513
MONTE CARLO TV;LACALLE POU;4353;18738;23091
MONTE CARLO TV;LISTA 10 VAMOS URUGUAY;682;9305;9987
MONTE CARLO TV;LISTA 1001 TABARE VAZQUEZ;0;1488;1488
MONTE CARLO TV;LISTA 15 VAMOS URUGUAY;802;2941;3743
MONTE CARLO TV;LISTA 2014 LACALLE POU;1558;10368;11926
MONTE CARLO TV;LISTA 2121 TABARE VAZQUEZ;0;4988;4988
MONTE CARLO TV;LISTA 329 TABARE VAZQUEZ;130;944;1074
MONTE CARLO TV;LISTA 33 11 TABARE VAZQUEZ;0;846;846
MONTE CARLO TV;LISTA 33 LACALLE POU;0;703;703
MONTE CARLO TV;LISTA 3504 LACALLE POU;0;58;58
MONTE CARLO TV;LISTA 404 LACALLE POU;1360;6710;8070
MONTE CARLO TV;LISTA 504 504 LACALLE POU;0;514;514
MONTE CARLO TV;LISTA 71 LACALLE POU;1314;2367;3681
MONTE CARLO TV;LISTA 711 TABARE SENDIC;189;2929;3118
MONTE CARLO TV;LISTA 767 LACALLE POU;0;1201;1201
MONTE CARLO TV;LISTA 77 5005 FRENTE AMPLIO;1820;3480;5300
MONTE CARLO TV;LISTA 90 TABARE VAZQUEZ;2163;5757;7920
MONTE CARLO TV;LISTA 903 LACALLE POU;0;1605;1605
MONTE CARLO TV;LISTA 99738 NUEVO ESPACIO;732;2657;3389
MONTE CARLO TV;TABARE VAZQUEZ;3187;8490;11677
SAETA TV;ESPACIO 40 LACALLE POU;770;2131;2901
SAETA TV;FRENTE LIBER SEREGNI;1146;4968;6114
SAETA TV;LACALLE POU;4352;20874;25226
SAETA TV;LISTA 10 VAMOS URUGUAY;744;10188;10932
SAETA TV;LISTA 1001 7373 TABARE VAZQUEZ;0;336;336
SAETA TV;LISTA 15 VAMOS URUGUAY;0;147;147
